Date,Adj Close,Close,High,Low,Open,Volume
2023-06-30,233.08099365234375,237.47999572753906,238.27999877929688,235.9499969482422,236.27000427246094,6879400
2023-07-03,233.56192016601562,237.97000122070312,238.39999389648438,235.41000366210938,237.0,3087400
2023-07-05,235.01451110839844,239.4499969482422,240.0,233.99000549316406,234.41000366210938,7601200
2023-07-06,234.45504760742188,238.8800048828125,239.60000610351562,236.69000244140625,238.27000427246094,6441800
2023-07-07,232.07005310058594,236.4499969482422,238.44000244140625,236.1300048828125,236.72999572753906,5729500
2023-07-10,233.7483673095703,238.16000366210938,239.10000610351562,236.5,237.00999450683594,4858900
2023-07-11,236.09413146972656,240.5500030517578,240.6999969482422,238.1199951171875,238.80999755859375,3856500
2023-07-12,237.72337341308594,242.2100067138672,243.9499969482422,241.22999572753906,241.5500030517578,6116000
2023-07-13,238.802978515625,243.30999755859375,244.27000427246094,243.14999389648438,243.7899932861328,5819600
2023-07-14,238.65576171875,243.16000366210938,244.74000549316406,241.9600067138672,244.72999572753906,4941200
2023-07-17,239.47039794921875,243.99000549316406,245.3699951171875,243.0,243.11000061035156,4328100
2023-07-18,236.31004333496094,240.77000427246094,243.17999267578125,237.67999267578125,243.10000610351562,7674000
2023-07-19,236.94801330566406,241.4199981689453,242.58999633789062,240.1199951171875,241.25,4835500
2023-07-20,235.18136596679688,239.6199951171875,241.61000061035156,239.07000732421875,241.16000366210938,4695000
2023-07-21,234.81817626953125,239.25,240.35000610351562,238.72999572753906,239.74000549316406,5427400
2023-07-24,236.28060913085938,240.74000549316406,241.27999877929688,238.19000244140625,239.67999267578125,6010000
2023-07-25,234.26856994628906,238.69000244140625,240.8000030517578,238.55999755859375,240.02000427246094,4997500
2023-07-26,232.70803833007812,237.10000610351562,238.85000610351562,227.67999267578125,231.4199981689453,7551400
2023-07-27,230.09730529785156,234.44000244140625,238.66000366210938,232.9600067138672,237.4199981689453,8160100
2023-07-28,231.38302612304688,235.75,235.8800048828125,233.7100067138672,234.5800018310547,6794800
2023-07-31,233.32635498046875,237.72999572753906,238.4199981689453,236.0,236.0,4799600
2023-08-01,235.33834838867188,239.77999877929688,240.72999572753906,237.0,237.13999938964844,4627300
2023-08-02,233.15951538085938,237.55999755859375,238.7899932861328,236.7899932861328,238.6300048828125,4868200
2023-08-03,234.33726501464844,238.75999450683594,239.0500030517578,235.25,236.0,5033800
2023-08-04,234.56301879882812,238.99000549316406,241.91000366210938,237.83999633789062,238.0,5169700
2023-08-07,237.03631591796875,241.50999450683594,242.17999267578125,239.2100067138672,239.22000122070312,5649800
2023-08-08,234.85745239257812,239.2899932861328,241.36000061035156,237.38999938964844,240.4199981689453,5080600
2023-08-09,235.3187713623047,239.75999450683594,241.97000122070312,239.49000549316406,240.5,4055000
2023-08-10,236.1545867919922,240.16000366210938,243.9499969482422,240.08999633789062,240.6199951171875,4778000
2023-08-11,236.03659057617188,240.0399932861328,240.72000122070312,238.4199981689453,240.0,3607100
2023-08-14,238.848876953125,242.89999389648438,243.3300018310547,240.25999450683594,240.72000122070312,4351100
2023-08-15,235.830078125,239.8300018310547,242.6699981689453,239.35000610351562,242.00999450683594,3770100
2023-08-16,235.299072265625,239.2899932861328,241.07000732421875,236.02000427246094,236.52999877929688,3218600
2023-08-17,233.41111755371094,237.3699951171875,240.3800048828125,236.49000549316406,240.0,4177600
2023-08-18,234.19773864746094,238.1699981689453,239.0500030517578,235.3000030517578,235.5800018310547,4344800
2023-08-21,235.4662628173828,239.4600067138672,240.52999877929688,237.75999450683594,239.3800048828125,3573600
2023-08-22,236.55775451660156,240.57000732421875,241.42999267578125,238.6699981689453,240.0,3848400
2023-08-23,238.2589111328125,242.3000030517578,242.5399932861328,240.72000122070312,241.32000732421875,4947700
2023-08-24,235.47607421875,239.47000122070312,243.55999755859375,239.36000061035156,242.25,4570700
2023-08-25,238.52439880371094,242.57000732421875,243.41000366210938,240.2100067138672,241.3800048828125,3541500
2023-08-28,239.7633819580078,243.8300018310547,245.22999572753906,242.60000610351562,243.00999450683594,3741500
2023-08-29,241.24815368652344,245.33999633789062,245.8300018310547,243.39999389648438,243.5,3975600
2023-08-30,242.12335205078125,246.22999572753906,248.22999572753906,246.0500030517578,246.4199981689453,4573300
2023-08-31,241.58248901367188,245.67999267578125,248.02000427246094,245.4499969482422,245.58999633789062,5532600
2023-09-01,243.97195434570312,248.11000061035156,248.8699951171875,246.77000427246094,247.47000122070312,4112900
2023-09-05,241.24815368652344,245.33999633789062,248.69000244140625,245.1999969482422,248.35000610351562,4459600
2023-09-06,242.0544891357422,246.16000366210938,246.66000366210938,244.2100067138672,245.4199981689453,4520300
2023-09-07,243.01815795898438,247.13999938964844,247.39999389648438,245.11000061035156,245.5,4007900
2023-09-08,243.16566467285156,247.2899932861328,248.13999938964844,246.44000244140625,247.7899932861328,3309100
